title,price,pages,reviews,value_per_page,link
Antifragile,490.0,544,7415,1.110204081632653,https://www.amazon.in/dp/0141038225/?coliid=I2EHBRDTC36BPK&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
A Random Walk Down Wall Street: The Best Investment Guide That Money Can Buy,1390.0,432,652,0.3107913669064748,https://www.amazon.in/dp/1324035439/?coliid=I3EMIEGG41BCOY&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Tribe of Mentors: Short Life Advice from the Best in the World,826.0,608,4816,0.7360774818401937,https://www.amazon.in/dp/1785041851/?coliid=I257OQCACB354O&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
No Rules Rules: Netflix and the Culture of Reinvention,440.0,320,6923,0.7272727272727273,https://www.amazon.in/dp/0753560968/?coliid=I1XSQYF6P5EVEG&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
No Filter: The Inside Story of Instagram – Winner of the FT Business Book of the Year Award,560.0,352,1889,0.6285714285714286,https://www.amazon.in/dp/1847942547/?coliid=I2H1OOKGEOPFKH&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
How To Read A Book,372.0,426,7055,1.1451612903225807,https://www.amazon.in/dp/0671212095/?coliid=I1HMI6JVDGM4BY&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Super Brain: Unleashing the explosive power of your mind to maximize health, happiness and spiritual well-being [Paperback] Chopra, Dr Deepak and Tanzi, Rudolph E.",728.0,336,1690,0.46153846153846156,https://www.amazon.in/dp/1846043670/?coliid=I1I01E0XOG20YM&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Chanakya Neeti,260.0,332,2115,1.2769230769230768,https://www.amazon.in/dp/9388423577/?coliid=I1HUQKD2F8B8PJ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
GRINDING IT OUT,787.0,218,2558,0.2770012706480305,https://www.amazon.in/dp/0312929870/?coliid=I2GKXMHM6ZISLT&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"For God, Country, and Coca-Cola: The Definitive History of the Great American Soft Drink and the Company That Makes It",1736.63,560,153,0.3224636220726349,https://www.amazon.in/dp/0465029175/?coliid=IPJB5M0AYBU0F&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Inside Coca-Cola,272.0,288,177,1.0588235294117647,https://www.amazon.in/dp/1250013712/?coliid=I1ADO4IEQSCM0M&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Grinding It Out,301.0,224,2558,0.7441860465116279,https://www.amazon.in/dp/1250127505/?coliid=I28ASC29JKOR76&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
