title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
"Penguin Select Classics: Meditations: (Original, Unabridged Classic, Premium Hardbound Collector's Edition, Ideal for Gifting)",Marcus Aurelius,227.0,192,32,4.4,1.1822916666666667,https://www.amazon.in/dp/9815162918/?coliid=IGQF98D9KKBKE&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9815162918,Hardcover Books,"Hardcover

₹227.00",2025-07-21T19:56:40.869256
Folktales from India Penguin Premium Classic Edition,A K Ramanujan,484.49,456,279,4.5,1.0624780701754386,https://www.amazon.in/dp/0670098124/?coliid=I17DA9KILMWXOW&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0670098124,Hardcover Books,"Hardcover

₹484.49",2025-07-21T19:56:40.145327
Strategy: Seeking and Securing Competitive Advantage,"Cynthia A. Montgomery, Michael E. Porter",7178.71,502,3,4.5,14.300219123505975,https://www.amazon.in/dp/0875842437/?coliid=I3E86FQTYO5YLX&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0875842437,Hardcover Books,"Hardcover

₹7,178.71",2025-07-21T19:56:49.562226
Educated: The international bestselling memoir,Tara Westover,424.0,400,216166,4.6,1.06,https://www.amazon.in/dp/0099511029/?coliid=I370GQU7HRG018&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0099511029,Hardcover Books,"Paperback

₹424.00",2025-07-21T19:56:51.138940
"The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company",Michael S. Malone,2824.0,560,329,4.4,5.042857142857143,https://www.amazon.in/dp/0062226762/?coliid=ILKCVLCCJHHOQ&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0062226762,Hardcover Books,"Hardcover

₹2,824.00",2025-07-21T19:56:51.449714
The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,Mel Robbins,473.0,336,14902,4.5,1.4077380952380953,https://www.amazon.in/dp/9366117864/?coliid=I2839ALU2O2PXF&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9366117864,Hardcover Books,"Hardcover

₹473.00",2025-07-21T19:56:52.267756
Bitwise,David Auerbach,629.0,304,29,4.4,2.0690789473684212,https://www.amazon.in/dp/1101871296/?coliid=I1PX0V70R3OEA7&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1101871296,Hardcover Books,"Hardcover

₹629.00",2025-07-21T19:57:02.695204
"The Innovator's Dilemma, with a New Foreword: When New Technologies Cause Great Firms to Fail","Clayton M. Christensen, Marc Benioff",903.49,320,62,4.5,2.82340625,https://www.amazon.in/dp/1647826764/?coliid=I26HD0ZRHOI3K6&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1647826764,Hardcover Books,"Hardcover

₹903.49",2025-07-21T19:57:02.779129
Don't Believe Everything You Think (Expanded Edition) : Why Your Thinking Is the Beginning & End of Suffering (English),Joseph Nguyen,349.0,192,12129,4.5,1.8177083333333333,https://www.amazon.in/dp/9355437234/?coliid=I1GRDIBE0DSL38&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355437234,Hardcover Books,"Hardcover

₹349.00",2025-07-21T19:57:02.962119
Good To Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,813.0,320,8416,4.6,2.540625,https://www.amazon.in/dp/0712676090/?coliid=I1RMTJ368E4YDR&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0712676090,Hardcover Books,"Hardcover

₹813.00",2025-07-21T19:57:03.415677
