title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
The Go-Giver: A Little Story About a Powerful Business Idea,"Bob Burg, John David Mann",335.0,176,9013,4.6,1.9034090909090908,https://www.amazon.in/dp/0241976278/?coliid=IY9KB1Q2XMYCG&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241976278,General Books,Unknown,2025-07-21T20:28:47.890800
"Sales, Marketing, and Digital Essentials- Combining Traditional Sales and Marketing with the Dynamic world of Digital Marketing","Vishal Desai, Callie Daum, ",1467.0,580,1,5.0,2.529310344827586,https://www.amazon.in/dp/B09XTS2PSR/?coliid=I17R3EMJUOH55W&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B09XTS2PSR,General Books,"Paperback

₹1,467.00",2025-07-21T20:28:52.973234
"Management Essentials for Business Leaders and Professionals - Includes books for planning, managing, and leading a business successfully","Vibrant Publishers, , , ",2499.0,1052,,,2.3754752851711025,https://www.amazon.in/dp/B0BBTXCK89/?coliid=I2DAL96LFBTQFH&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B0BBTXCK89,General Books,"Paperback

₹2,499.00",2025-07-21T20:28:53.437332
"A practical guide to learning all about people management; Includes books on Organizational Behavior, Human Resource Analytics, and Management","Vibrant Publishers, , ",1467.0,692,,,2.1199421965317917,https://www.amazon.in/dp/B0BC8T355P/?coliid=IK5P2QGTZWNQU&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B0BC8T355P,General Books,"Paperback

₹1,467.00",2025-07-21T20:28:57.166473
(Old Edition) Indian Art And Culture,Nitin Singhania,699.0,632,2272,4.6,1.106012658227848,https://www.amazon.in/dp/9354601804/?coliid=IFPDBSIEVDLM&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354601804,General Books,"Paperback

₹699.00",2025-07-21T20:29:02.375329
DELHI RIOTS 2020: The Untold Story,"Prerna Malhotra Monika Arora, Sonali Chitalkar",180.0,320,650,4.6,0.5625,https://www.amazon.in/dp/1942426291/?coliid=I230PNK47RXBRD&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1942426291,General Books,"Paperback

₹180.00",2025-07-21T20:29:03.392929
Garud Unbreaking India: Decision on Article 370 and the CAA,Sanjay Dixit,489.0,,1525,4.8,,https://www.amazon.in/dp/1942426356/?coliid=IDTTA6M1FOLI6&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1942426356,General Books,"Paperback

₹481.00",2025-07-21T20:29:03.607363
Bengal Divided (PB): The Unmaking of a Nation (1905-1971),Nitish Sengupta,231.0,272,97,4.5,0.8492647058823529,https://www.amazon.in/dp/0143419552/?coliid=I21LTMQCJRYJ9Y&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143419552,General Books,"Paperback

₹231.00",2025-07-21T20:29:09.351729
Land of Two Rivers : A History Of Bengal,Nitish Sengupta,465.0,656,218,4.6,0.7088414634146342,https://www.amazon.in/dp/0143416782/?coliid=IAZ0WQRFX2Y81&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143416782,General Books,"Paperback

₹465.00",2025-07-21T20:29:14.090189
The Epic City: The World on the Streets of Calcutta,Kushanava Choudhury,375.0,272,247,4.4,1.3786764705882353,https://www.amazon.in/dp/938786393X/?coliid=I1ZMC63JU8LS1P&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,938786393X,General Books,"Paperback

₹375.00",2025-07-21T20:29:14.680921
A Fine Balance,Rohinton Mistry,,,196,4.6,,https://www.amazon.in/dp/0571218784/?coliid=I1MBOX5IZ7FEHQ&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0571218784,General Books,"Paperback

—",2025-07-21T20:29:14.950963
"Options, Future & Other Derivatives | Tenth Edition | By Pearson","John C. Hull, Sankarshan Basu",882.0,928,675,4.3,0.9504310344827587,https://www.amazon.in/dp/9352866592/?coliid=I28VVXSZELVN2Z&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9352866592,General Books,"Paperback

₹882.00",2025-07-21T20:29:21.216353
India Business Guide - Start-up to Set-up,Advocates Vaish Associates,845.0,,1,5.0,,https://www.amazon.in/dp/9351295362/?coliid=I1UJLEDR3ZI8S4&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9351295362,General Books,"Paperback

₹845.00",2025-07-21T20:29:24.718800
Recommended: How to sell through networking and referrals (Financial Times Series),Andy Lopata,1867.0,304,23,4.6,6.141447368421052,https://www.amazon.in/dp/0273757962/?coliid=ILIJBLIOPF8EC&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0273757962,General Books,"Paperback

₹1,867.00",2025-07-21T20:29:25.370548
Let's Build a Company,"Harpreet Grover, Vibhore Goyal",213.0,256,641,4.5,0.83203125,https://www.amazon.in/dp/0143449834/?coliid=I1CTQAWMDCB5R3&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143449834,General Books,"Paperback

₹213.00",2025-07-21T20:29:27.401226
"FUNDAMENTALS OF MANAGEMENT: ESSENTIAL CONCEPTS AND APPLICATIONS, 9TH EDN",Robbins,816.0,504,272,4.2,1.619047619047619,https://www.amazon.in/dp/933257412X/?coliid=I1EJK6HTSLQHQX&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,933257412X,General Books,"Paperback

₹816.00",2025-07-21T20:29:31.765247
How to Start a Business in India,Simon Daniel,,178,65,4.2,,https://www.amazon.in/dp/9390025966/?coliid=I1UN4TKHV85HX7&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9390025966,General Books,"Paperback

—",2025-07-21T20:29:35.610699
Portfolio Book of Great Indian Business,Penguin,273.0,320,160,4.3,0.853125,https://www.amazon.in/dp/0143425242/?coliid=I2QGU4RBR27BPX&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143425242,General Books,"Paperback

₹273.00",2025-07-21T20:29:37.922785
The Compound Effect (English),Darren Hardy,246.0,194,19681,4.6,1.268041237113402,https://www.amazon.in/dp/9390924634/?coliid=I108V1JOG4V5ME&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9390924634,General Books,"Paperback

₹246.00",2025-07-21T20:29:38.326316
Made In India : A Business Process Playbook for Small and Medium Enterprises,Srinivas R Pingali,229.0,178,11,4.0,1.2865168539325842,https://www.amazon.in/dp/1647606675/?coliid=I21I7F0S6Z6UFD&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1647606675,General Books,"Paperback

₹229.00",2025-07-21T20:29:41.752831
How to Make Money Trading with Candlestick Charts,Balkrishna M Sadekar,309.0,204,4019,4.2,1.5147058823529411,https://www.amazon.in/dp/8170948126/?coliid=I3E7KH05GU06C5&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8170948126,General Books,"Paperback

₹309.00",2025-07-21T20:29:47.416611
Talking To Strangers: What We Should Know About The people We Don't Know,Malcolm Gladwell,,400,22727,4.2,,https://www.amazon.in/dp/024135157X/?coliid=IX1Q1MVZ5TI8V&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,024135157X,General Books,"Paperback

—",2025-07-21T20:29:48.506028
Rich Dad Classics Box Set,Robert T. Kiyosaki,1770.0,,575,4.6,,https://www.amazon.in/dp/1612680151/?coliid=I38T7SBGMBCABZ&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1612680151,General Books,"Paperback

₹1,770.00",2025-07-21T20:29:48.671782
The 1 Page Marketing Plan,Allan Dib,374.0,228,10155,4.6,1.6403508771929824,https://www.amazon.in/dp/1989603343/?coliid=IKHK74N55G1JD&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1989603343,General Books,"Paperback

₹374.00",2025-07-21T20:29:56.384278
How to Avoid Loss and Earn Consistently in the Stock Market: An Easy-to-understand and Practical Guide for Every Investor,Prasenjit Paul,399.0,242,6620,4.4,1.6487603305785123,https://www.amazon.in/dp/1482850885/?coliid=IMHRT4LBHO5IF&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1482850885,General Books,"Paperback

₹399.00",2025-07-21T20:30:00.406080
Zero to One (L),"Peter Thiel, Blake Masters",417.0,210,32591,4.5,1.9857142857142858,https://www.amazon.in/dp/0753555190/?coliid=IVMRCN90NYHQE&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0753555190,General Books,"Paperback

₹417.00",2025-07-21T20:30:02.044120
This is Marketing,Seth Godin,642.0,208,5083,4.5,3.0865384615384617,https://www.amazon.in/dp/0241370140/?coliid=ILM30VW7QEMZ9&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241370140,General Books,"Paperback

₹642.00",2025-07-21T20:30:02.298989
