title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Complete Adventures of Feluda Vol.2,Satyajit Ray,412.0,776,1078,4.7,Amazing_Buy,0.5309278350515464,https://www.amazon.in/dp/0143425048/?coliid=I2JCIN1VLJYB48&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143425048,General Books,"Paperback

₹412.00",2025-09-22T12:29:36.477356
Complete Adventures of Feluda Vol.1,Satyajit Ray,428.25,804,1605,4.7,Cocoblu Retail,0.5326492537313433,https://www.amazon.in/dp/014342503X/?coliid=I3LUKSCCW3YAAR&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,014342503X,General Books,"Paperback

₹426.00",2025-09-22T12:29:38.311110
Speak to Win: How to Present With Power in Any Situation,Brian Tracy,1612.0,202,307,4.5,Repro Books-On-Demand,7.98019801980198,https://www.amazon.in/dp/1400231000/?coliid=I1YEXWPT9KWIXG&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1400231000,General Books,"Paperback

₹1,612.00",2025-09-22T12:29:38.972453
The Prince,Niccolo Machiavelli,113.0,180,6345,4.4,Cocoblu Retail,0.6277777777777778,https://www.amazon.in/dp/8129101394/?coliid=I32EU3X1WHOCTH&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8129101394,General Books,"Paperback

₹113.00",2025-09-22T12:29:43.904295
House of Leaves,Mark Z. Danielewski,1150.0,736,12609,4.6,Cocoblu Retail,1.5625,https://www.amazon.in/dp/0375703764/?coliid=I2ULIGE5GSY715&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0375703764,General Books,"Paperback

₹1,150.00",2025-09-22T12:29:45.500450
The Things You Can See Only When You Slow Down: How to be Calm in a Busy World,Haemin Sunim,400.0,288,6465,4.6,Cocoblu Retail,1.3888888888888888,https://www.amazon.in/dp/0241340667/?coliid=IPPM6YUCCS236&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0241340667,General Books,"Paperback

₹400.00",2025-09-22T12:29:48.566801
Contagious: How to Build Word of Mouth in the Digital Age,Jonah Berger,311.0,256,7168,4.5,Cocoblu Retail,1.21484375,https://www.amazon.in/dp/1471111709/?coliid=I1IPHEIYDVL0RN&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1471111709,General Books,"Paperback

₹311.00",2025-09-22T12:29:50.029027
Don't Believe Everything You Think (English),Joseph Nguyen,163.0,128,13211,4.5,Cocoblu Retail,1.2734375,https://www.amazon.in/dp/935543135X/?coliid=I1NV7TAPKLVUCC&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,935543135X,General Books,"Paperback

₹163.00",2025-09-22T12:29:56.925503
Meditations (Chump Change Edition),Marcus Aurelius,135.0,54,490,4.3,BooksMyLife,2.5,https://www.amazon.in/dp/1640320571/?coliid=IYFMDEI2VRVJF&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1640320571,General Books,"Hardcover

₹135.00",2025-09-22T12:29:57.231747
"SAME AS EVER: Timeless Lessons on Risk, Opportunity and Living a Good Life (From the author of The Psychology Of Money)",Morgan Housel,284.0,224,4502,4.5,Cocoblu Retail,1.2678571428571428,https://www.amazon.in/dp/1804090948/?coliid=I7U7CTXLNXTQS&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1804090948,General Books,"Paperback

₹284.00",2025-09-22T12:29:58.432916
YOU ARE A BADASS,Jen Sincero,338.0,256,45267,4.4,Cocoblu Retail,1.3203125,https://www.amazon.in/dp/1473649528/?coliid=IPPDDB3HQ7HYU&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1473649528,General Books,"Paperback

₹338.00",2025-09-22T12:29:59.881971
The Mahabharata box set,"Bibek Debroy (Tr), Penguin",,,622,4.6,,,https://www.amazon.in/dp/B07D7Y6DF3/?coliid=I9M32LNNRT2KI&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,B07D7Y6DF3,General Books,"Paperback

from ₹5,299.00",2025-09-22T12:30:05.562965
Little Black Classics Box Set: Collectible box 80 Penguin Classics | Timeless Short Stories and Essays from Literary Greats,Various,4035.0,5120,1219,4.4,Amazing_Buy,0.7880859375,https://www.amazon.in/dp/0141398876/?coliid=I349X2WDAZRB5H&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141398876,General Books,"Paperback

₹4,035.00",2025-09-22T12:30:07.340930
Onward,"Howard Schultz, Joanne Gordon",939.0,384,1764,4.4,Repro Books-On-Demand,2.4453125,https://www.amazon.in/dp/1609613821/?coliid=I28Q5ACT8DFU4L&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1609613821,General Books,"Paperback

₹939.00",2025-09-22T12:30:08.381205
You Must Know Your Constitution,Fali S. Nariman,570.0,500,246,4.6,Cocoblu Retail,1.14,https://www.amazon.in/dp/8195991726/?coliid=I23QXZHKZ6SEJ4&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8195991726,General Books,"Hardcover

₹570.00",2025-09-22T12:30:09.250047
No Filter: The Inside Story of Instagram – Winner of the FT Business Book of the Year Award,Sarah Frier,538.89,352,1905,4.4,Trans Infopreneur Inc,1.5309375,https://www.amazon.in/dp/1847942547/?coliid=I2RMKKO1GYJP7&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1847942547,General Books,"Paperback

₹538.89",2025-09-22T12:30:15.200942
"The World for Sale: Money, Power and the Traders Who Barter the Earth’s Resources","Javier Blas, Jack Farchy",433.0,416,3679,4.6,Cocoblu Retail,1.0408653846153846,https://www.amazon.in/dp/1847942679/?coliid=I2429DAUY5R1S6&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1847942679,General Books,"Paperback

₹433.00",2025-09-22T12:30:18.927971
THE SPLIT,Sharon Bolton,645.0,400,10228,4.2,uRead-Store,1.6125,https://www.amazon.in/dp/1409174212/?coliid=IYK4DJV5NANJF&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1409174212,General Books,"Paperback

₹645.00",2025-09-22T12:30:18.993191
The Diary of a CEO: The 33 Laws of Business and Life,Steven Bartlett,570.0,368,3386,4.5,Cocoblu Retail,1.548913043478261,https://www.amazon.in/dp/1529146518/?coliid=I1ZOU60JD41U9H&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1529146518,General Books,"Paperback

₹570.00",2025-09-22T12:30:20.608203
"Magic of Thinking Big, The",David J Schwartz,709.24,384,17747,4.6,uRead-Store,1.8469791666666666,https://www.amazon.in/dp/1785042432/?coliid=I1L1RO2SKNB2TG&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1785042432,General Books,"Paperback

₹709.24",2025-09-22T12:30:22.961040
Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert Cialdini,458.0,432,3312,4.4,Cocoblu Retail,1.0601851851851851,https://www.amazon.in/dp/1847941435/?coliid=I21I8CA3X53JFR&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1847941435,General Books,"Paperback

₹458.00",2025-09-22T12:30:26.908619
Atomic Attraction: The Psychology of Attraction,Christopher Canwell,719.0,314,1823,4.6,Repro Books-On-Demand,2.289808917197452,https://www.amazon.in/dp/1999872223/?coliid=IB1FQPAI3WXUZ&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1999872223,General Books,"Paperback

₹719.00",2025-09-22T12:30:28.781717
ONLY THE PARANOID SURVIVE (UPDATED EDITION),Andrew Grove,305.0,224,143,4.6,Cocoblu Retail,1.3616071428571428,https://www.amazon.in/dp/1800810628/?coliid=I37WNPQ7CEKR6X&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1800810628,General Books,"Paperback

₹305.00",2025-09-22T12:30:30.823979
Read People Like a Book,Patrick King,1289.0,276,6800,4.3,Repro Books-On-Demand,4.670289855072464,https://www.amazon.in/dp/1647432235/?coliid=I3P6YTJDYD9M4&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1647432235,General Books,"Hardcover

₹1,289.00",2025-09-22T12:30:31.806633
Antifragile: Things that Gain from Disorder,Nassim Nicholas Taleb,485.0,544,7592,4.5,Cocoblu Retail,0.8915441176470589,https://www.amazon.in/dp/0141038225/?coliid=I3N2W76MSAF05E&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0141038225,General Books,"Paperback

₹485.00",2025-09-22T12:30:34.249248
How to Get Rich: One of the World's Greatest Entrepreneurs Shares His Secrets,Felix Dennis,598.0,320,2402,4.5,Cocoblu Retail,1.86875,https://www.amazon.in/dp/1591842719/?coliid=I3IVXIFX9MVYHF&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1591842719,General Books,"Paperback

₹598.00",2025-09-22T12:30:39.464976
Meditations,Marcus Aurelius,109.0,228,14114,4.3,Cocoblu Retail,0.4780701754385965,https://www.amazon.in/dp/8175994754/?coliid=I1N0UR43NDZO57&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8175994754,General Books,"Paperback

₹109.00",2025-09-22T12:30:39.772553
TRACTION,Gino Wickman,1336.0,246,8675,4.6,Cocoblu Retail,5.430894308943089,https://www.amazon.in/dp/1936661837/?coliid=I1Q8F06D8R657R&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1936661837,General Books,"Paperback

₹1,336.00",2025-09-22T12:30:41.558930
Letters From A Stoic,Seneca,227.0,256,5570,4.5,Cocoblu Retail,0.88671875,https://www.amazon.in/dp/0140442103/?coliid=I1UZUYXPC1II8V&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0140442103,General Books,"Paperback

₹227.00",2025-09-22T12:30:47.440393
TUESDAYS WITH MORRIE (EXPORT) (A FORMAT),Mitch Albom,182.0,208,32382,4.6,Cocoblu Retail,0.875,https://www.amazon.in/dp/0751527378/?coliid=ICUXZFABBJFJ3&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0751527378,General Books,"Paperback

₹182.00",2025-09-22T12:30:50.071759
